"origin_iso","destination_iso","originregion_name","destinationregion_name","origin_name","destination_name","ftype","countryflow_2001","countryflow_2002","countryflow_2003","countryflow_2004","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015"
"AE","CH","Middle East","Eurocontrol","United Arab Emirates","Switzerland","inbound",0,0,0,0,0,0,0,0,0,0,1828,2023,2024,2218,2355
"AE","DE","Middle East","Eurocontrol","United Arab Emirates","Germany","inbound",3972,4095,4969,5529,6069,7261,7048,7440,7136,7464,8037,8847,8317,8667,9219
"AE","FR","Middle East","Eurocontrol","United Arab Emirates","France","inbound",1975,2294,2352,1865,2229,2623,2762,2624,2718,2817,2900,2970,3344,3491,3527
"AE","GB","Middle East","Eurocontrol","United Arab Emirates","United Kingdom","inbound",5684,5660,6572,8248,9203,9434,9611,10036,9846,9430,9922,10221,11002,11141,11516
"AE","IT","Middle East","Eurocontrol","United Arab Emirates","Italy","inbound",0,0,0,0,0,0,0,0,2019,2394,2528,2923,3329,3457,4864
"AE","LB","Middle East","Middle East","United Arab Emirates","Lebanon","overflying",0,0,0,0,0,0,0,0,0,0,0,0,2749,3262,3639
"AE","NL","Middle East","Eurocontrol","United Arab Emirates","Netherlands","inbound",0,0,2073,2453,2513,2580,2345,2110,0,2639,2877,2317,2595,2651,2710
"AE","RU","Middle East","Asia","United Arab Emirates","Russian Federation","overflying",0,0,0,0,0,0,0,0,0,0,1992,0,0,2187,0
"AE","TR","Middle East","Eurocontrol","United Arab Emirates","Turkey","inbound",0,0,0,0,0,0,1998,2455,2709,2970,2989,2918,3516,3585,3348
"AE","UA","Middle East","Eurocontrol","United Arab Emirates","Ukraine","inbound",0,0,0,0,0,0,0,0,0,0,0,0,2073,0,0
"AE","US","Middle East","America","United Arab Emirates","United States","overflying",0,0,0,0,0,0,0,0,2582,3019,3156,3243,3690,4666,5982
"AM","RU","Eurocontrol","Asia","Armenia","Russian Federation","outbound",0,0,0,0,0,0,5292,5821,5564,6237,6006,6950,6291,7472,6224
