"origin_iso","origin_name","originregion_name","destination_iso","destination_name","destinationregion_name","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014"
"AE","United Arab Emirates","Middle East","CH","Switzerland","Eurocontrol",0,0,0,0,1828,2023,2024,2218
"AE","United Arab Emirates","Middle East","DE","Germany","Eurocontrol",7048,7440,7136,7464,8037,8847,8317,8667
"AE","United Arab Emirates","Middle East","FR","France","Eurocontrol",2762,2624,2718,2817,2900,2970,3344,3491
"AE","United Arab Emirates","Middle East","GB","United Kingdom","Eurocontrol",9611,10036,9846,9430,9922,10221,11002,11141
"AE","United Arab Emirates","Middle East","IT","Italy","Eurocontrol",0,0,2019,2394,2528,2923,3329,3457
"AE","United Arab Emirates","Middle East","LB","Lebanon","Middle East",0,0,0,0,0,0,2749,3262
"AE","United Arab Emirates","Middle East","NL","Netherlands","Eurocontrol",2345,2110,0,2639,2877,2317,2595,2651
"AE","United Arab Emirates","Middle East","RU","Russian Federation","Asia",0,0,0,0,1992,0,0,2187
"AE","United Arab Emirates","Middle East","TR","Turkey","Eurocontrol",1998,2455,2709,2970,2989,2918,3516,3585
"AE","United Arab Emirates","Middle East","UA","Ukraine","Eurocontrol",0,0,0,0,0,0,2073,0
"AE","United Arab Emirates","Middle East","US","United States","America",0,0,2582,3019,3156,3243,3690,4666
"AM","Armenia","Eurocontrol","RU","Russian Federation","Asia",5292,5821,5564,6237,6006,6950,6291,7472
"AT","Austria","Eurocontrol","EG","Egypt","Middle East",0,1862,1835,1995,0,0,0,0
"AT","Austria","Eurocontrol","RU","Russian Federation","Asia",4475,5413,4767,5120,5601,5558,6040,5820
"AZ","Azerbaijan","Asia","AZ","Azerbaijan","Asia",2883,4324,4485,2451,3658,3593,3002,2169
"AZ","Azerbaijan","Asia","TR","Turkey","Eurocontrol",0,1879,2090,2458,3099,3610,4461,4312
"BE","Belgium","Eurocontrol","EG","Egypt","Middle East",0,1946,0,0,0,0,0,0
"BE","Belgium","Eurocontrol","MA","Morocco","Africa",2954,3036,3290,3847,4341,4175,4541,4615
"BE","Belgium","Eurocontrol","US","United States","America",3448,4014,4025,4277,4441,3944,3767,3898
"BG","Bulgaria","Eurocontrol","RU","Russian Federation","Asia",1843,2178,2130,2798,3242,3609,3978,4169
"BR","Brazil","America","ES","Spain","Eurocontrol",1929,2073,0,0,2039,1916,1905,2142
"BR","Brazil","America","FR","France","Eurocontrol",2341,2761,2414,2374,2395,2099,1954,1868
"BR","Brazil","America","PT","Portugal","Eurocontrol",3002,3341,2963,3294,3537,3611,3551,3700
"CA","Canada","America","DE","Germany","Eurocontrol",3777,4031,3949,4197,4309,4020,3810,3925
"CA","Canada","America","FR","France","Eurocontrol",3662,3738,3619,3721,3680,3457,3412,3406
"CA","Canada","America","GB","United Kingdom","Eurocontrol",10527,9296,8006,8083,7790,7837,7495,7416
"CH","Switzerland","Eurocontrol","AE","United Arab Emirates","Middle East",0,0,0,0,0,2042,2008,2206
"CH","Switzerland","Eurocontrol","EG","Egypt","Middle East",0,1900,1981,2045,0,0,0,0
"CH","Switzerland","Eurocontrol","IL","Israel","Middle East",0,0,0,0,1950,1908,1899,1917
"CH","Switzerland","Eurocontrol","RU","Russian Federation","Asia",3491,3931,3743,3868,4496,5093,5084,5064
"CH","Switzerland","Eurocontrol","US","United States","America",5509,5450,5356,5847,6172,6234,6303,6372
"CN","China","Asia","DE","Germany","Eurocontrol",4051,4449,4240,4567,4856,4825,4868,5522
"CN","China","Asia","FR","France","Eurocontrol",2828,2764,2456,2587,2769,3155,3191,3279
"CN","China","Asia","GB","United Kingdom","Eurocontrol",0,0,0,0,0,1877,2144,2464
"CN","China","Asia","NL","Netherlands","Eurocontrol",2449,2621,2201,2416,2984,3045,3260,3556
"CY","Cyprus","Eurocontrol","RU","Russian Federation","Asia",0,1905,0,2246,2791,3298,3692,4277
"CZ","Czech Republic","Eurocontrol","RU","Russian Federation","Asia",3678,4503,4579,4733,5679,6543,7247,6632
"DE","Germany","Eurocontrol","AE","United Arab Emirates","Middle East",5842,6239,6363,6586,7075,8229,8149,8246
"DE","Germany","Eurocontrol","BR","Brazil","America",0,0,0,0,0,1919,1846,0
"DE","Germany","Eurocontrol","CA","Canada","America",3722,3964,4020,4176,4340,4137,3981,4047
"DE","Germany","Eurocontrol","CN","China","Asia",3891,4231,4023,4715,5172,5154,5460,6332
"DE","Germany","Eurocontrol","EG","Egypt","Middle East",8090,8447,8291,8877,7001,8373,6700,6686
"DE","Germany","Eurocontrol","IL","Israel","Middle East",2067,2283,2695,2933,3000,3315,3679,4054
"DE","Germany","Eurocontrol","IN","India","Asia",3704,3845,4322,4523,4266,3623,3661,3442
"DE","Germany","Eurocontrol","JP","Japan","Asia",2505,2422,2294,2357,2493,2884,2919,3292
"DE","Germany","Eurocontrol","KR","Korea, Republic of","Asia",1896,2181,2207,2128,2116,1921,1939,1962
"DE","Germany","Eurocontrol","MA","Morocco","Africa",1864,2083,1986,2374,2615,2287,2957,2846
"DE","Germany","Eurocontrol","QA","Qatar","Middle East",0,0,0,0,2293,2417,2637,2696
"DE","Germany","Eurocontrol","RU","Russian Federation","Asia",20716,22245,20190,20289,24171,25334,24960,24814
"DE","Germany","Eurocontrol","SA","Saudi Arabia","Middle East",0,0,0,0,0,1885,2073,1930
"DE","Germany","Eurocontrol","SG","Singapore","Asia",0,0,0,1931,2166,2024,0,0
"DE","Germany","Eurocontrol","TH","Thailand","Asia",2214,2185,2025,2144,2318,2073,0,1888
"DE","Germany","Eurocontrol","TN","Tunisia","Africa",4474,4526,4477,4369,3107,3955,4001,4182
"DE","Germany","Eurocontrol","US","United States","America",27272,27596,25172,25866,27262,26951,26396,25433
"DK","Denmark","Eurocontrol","IS","Iceland","America",1852,0,0,0,0,0,0,0
"DK","Denmark","Eurocontrol","US","United States","America",2159,2073,1969,2009,1859,0,0,2152
"DZ","Algeria","Africa","ES","Spain","Eurocontrol",0,0,1978,2641,2787,2565,3123,3312
"DZ","Algeria","Africa","FR","France","Eurocontrol",11992,12442,13491,14771,15643,16788,18224,18984
"DZ","Algeria","Africa","TR","Turkey","Eurocontrol",0,0,0,0,0,0,0,1906
"EE","Estonia","Eurocontrol","RU","Russian Federation","Asia",0,0,0,0,0,2515,1935,0
"EG","Egypt","Middle East","AT","Austria","Eurocontrol",0,1855,1848,2009,0,0,0,0
"EG","Egypt","Middle East","BE","Belgium","Eurocontrol",2148,2462,2247,2416,2071,0,0,0
"EG","Egypt","Middle East","CH","Switzerland","Eurocontrol",0,1890,1959,2039,0,0,0,0
"EG","Egypt","Middle East","DE","Germany","Eurocontrol",7928,8234,8148,8717,6778,8193,6619,6516
"EG","Egypt","Middle East","FR","France","Eurocontrol",3167,3725,3508,3846,2462,2235,0,0
"EG","Egypt","Middle East","GB","United Kingdom","Eurocontrol",5474,5933,6537,7101,6071,5542,5731,5725
"EG","Egypt","Middle East","IT","Italy","Eurocontrol",8046,8486,8378,9051,5629,6719,5561,5103
"EG","Egypt","Middle East","LB","Lebanon","Middle East",0,0,0,2013,0,1957,2500,2324
"EG","Egypt","Middle East","NL","Netherlands","Eurocontrol",0,0,0,1861,1922,2051,0,0
"EG","Egypt","Middle East","PL","Poland","Eurocontrol",1845,2954,2464,3301,2195,2775,0,0
"EG","Egypt","Middle East","RU","Russian Federation","Asia",6496,7654,9211,12282,7970,10328,10066,13417
"EG","Egypt","Middle East","TR","Turkey","Eurocontrol",0,0,1998,2591,2547,2645,3212,3391
"EG","Egypt","Middle East","UA","Ukraine","Eurocontrol",2411,2985,0,2259,1851,0,1834,2146
"ES","Spain","Eurocontrol","BR","Brazil","America",1951,2133,0,1922,2285,2130,2113,2394
"ES","Spain","Eurocontrol","DZ","Algeria","Africa",0,0,1990,2639,2796,2574,3089,3272
"ES","Spain","Eurocontrol","IL","Israel","Middle East",0,2039,1934,2241,2486,2240,2188,2325
"ES","Spain","Eurocontrol","MA","Morocco","Africa",8262,7822,8861,9834,9270,7740,8255,8193
"ES","Spain","Eurocontrol","MX","Mexico","America",1888,1913,0,1869,1838,0,0,0
"ES","Spain","Eurocontrol","RU","Russian Federation","Asia",3863,4477,3549,4500,6281,7834,9358,9255
"ES","Spain","Eurocontrol","US","United States","America",5169,5976,6324,7068,7795,7243,6886,7325
"FI","Finland","Eurocontrol","RU","Russian Federation","Asia",2987,3560,3204,3188,3405,3057,2776,3526
"FR","France","Eurocontrol","AE","United Arab Emirates","Middle East",2698,2792,2809,2878,3008,3128,3458,3536
"FR","France","Eurocontrol","BR","Brazil","America",2363,2773,2455,2385,2380,2119,1952,1879
"FR","France","Eurocontrol","CA","Canada","America",3628,3777,3616,3708,3713,3481,3428,3427
"FR","France","Eurocontrol","CN","China","Asia",2960,2885,2791,3058,3282,3582,3433,3537
"FR","France","Eurocontrol","DZ","Algeria","Africa",12093,12597,13582,14833,15673,16796,18201,18977
