YEAR,NB_OF_FLIGHT,DEP_ISO_COUNTRY_CODE,DES_ISO_COUNTRY_CODE
2007,5227,RU,AM
2007,1077,AN,NL
2007,181,TT,GB
2007,2896,JP,FR
2007,681,CZ,IL
2007,518,TR,DZ
2007,679,MX,NL
2007,2449,CN,NL
2007,27272,DE,US
2007,263234,NO,NO
2007,6853,IN,GB
2007,391,CU,DE
2007,1436,US,RU
2007,2193,JP,GB
2007,4457,TN,DE
2007,100,IS,RU
2007,673,JP,FI
2007,12,KR,DK
2007,444,AM,UA
2007,19456,NL,ES
2007,285,MU,DE
2007,927,HK,NL
2007,1306,US,AE
2007,753,MY,GB
2007,197,AE,FI
2007,1540,AT,EG
2007,201,BF,MA
2007,1688,IL,CH
2007,206,GN,MA
2007,20716,DE,RU
2007,2201,FI,NL
2007,1431,RU,US
2007,2038,SE,LV
2007,853,IL,HU
2007,1268,AE,US
2007,871,LB,IT
2007,5853,FI,DK
2007,115,BE,DO
2007,631,IR,GB
2007,3064,MT,IT
2007,84819,FR,GB
2007,1492,GR,BG
2007,1218,IL,NL
2007,1235,HK,DE
2007,11842,HU,DE
2007,5288,ES,AT
2007,13563,CZ,DE
2007,5837,IT,PT
2007,345,FI,PT
2007,826,CN,IT
2007,14016,NL,IT
2007,20218,FR,MA
2007,31741,CH,GB
2007,48710,DE,AT
2007,9136,AT,CH
2007,11737,SE,GB
2007,29742,AT,AT
2007,27706,NL,DE
2007,634,MK,AT
2007,13012,FR,PT
2007,31568,GB,CH
2007,2372,CH,SE
2007,9817,IE,FR
2007,1079,AT,LU
2007,2253,AT,DK
2007,1457,SG,DE
2007,759,TR,BG
2007,858,GB,EE
2007,1985,IE,BE
2007,3409,GB,MA
2007,368,GB,GM
2007,2289,GR,ES
2007,4654,IE,IT
2007,11698,GB,SE
2007,9830,GB,CZ
2007,17070,FR,US
2007,3433,MA,GB
2007,14840,FR,TN
2007,730,LB,GB
2007,675,CN,DK
2007,509,CY,IT
2007,4580,PT,CH
2007,4474,DE,TN
2007,30,CH,MX
2007,3860,RU,ES
2007,1956,NL,CN
2007,3678,CZ,RU
2007,14806,RU,RU
2007,136,KW,FR
2007,4794,NL,SE
2007,1947,TR,DK
2007,2785,LU,FR
2007,2349,NL,PL
2007,2458,HU,NL
2007,1328,KE,NL
2007,8890,GB,AE
2007,4190,PT,NL
2007,18567,DK,NO
2007,1496,TR,PL
2007,8561,NO,DE
2007,668,LU,AZ
2007,5752,DK,NL
2007,1905,BE,IE
2007,2067,DE,IL
2007,4056,AT,CZ
2007,663,PT,SE
2007,790,PT,DK
2007,3628,FR,CA
2007,4180,SK,CZ
2007,3741,NL,AT
2007,1231,LT,FI
2007,268,CY,MT
2007,1023,DE,IR
2007,301,GB,BS
2007,1078,DZ,IT
2007,1561,ES,IL
2007,4124,AT,GR
2007,186,FR,CV
2007,1071,RU,HU
2007,9877,CZ,GB
2007,16647,PL,GB
2007,1498,SA,GB
2007,1550,GB,SA
2007,872,EE,GB
2007,51,DE,AG
2007,144,FR,TW
2007,387,NO,US
2007,4397,FI,GB
2007,214,DE,SD
2007,2148,EG,BE
2007,89,NL,VE
2007,655,AT,IN
2007,771,FR,SG
2007,3936,IT,TR
2007,1806,NG,GB
2007,1141,GI,GB
2007,1475,TR,EG
2007,4164,CZ,SK
2007,113,UA,IR
2007,1525,ES,DO
2007,5256,NL,GR
2007,1583,DE,KZ
2007,1123,NL,UA
2007,1150,NL,IL
2007,1077,DE,EE
2007,8,NO,MX
2007,1439,SI,CS
2007,3719,AT,TR
2007,739,NL,HK
2007,1852,DK,IS
2007,573,SI,MK
2007,981,AT,SK
2007,1161,BE,IL
2007,799,FR,TH
2007,1057,LT,SE
2007,356,EE,PL
2007,1651,NL,CA
2007,11,IT,OM
2007,1165,CZ,NO
2007,391,AL,GB
2007,577,SE,TH
2007,235,TN,QA
2007,1765,HU,PL
2007,1189,UA,CZ
2007,783,FR,JO
2007,9323,CS,CS
2007,3701,PL,DK
2007,159,GR,TH
2007,446,PT,VE
2007,756,FR,DO
2007,621,MA,AE
2007,383,GM,GB
2007,89,CS,MT
2007,532,ML,FR
2007,878,NL,KR
2007,2443,PL,BE
2007,344,TJ,GB
2007,2651,FR,LU
2007,806,NO,CH
2007,714,BY,AT
2007,2646,CS,AT
2007,216,ES,CN
2007,1865,AT,HU
2007,193,MD,UA
2007,10,CV,MA
2007,265,BY,LT
2007,549,MK,IT
2007,150,SY,GR
2007,90,HU,MT
2007,599,ES,SN
2007,2558,CZ,BE
2007,31,CV,DK
2007,467,DZ,MA
2007,658,LY,MT
2007,722,CZ,LV
2007,964,FI,GR
2007,2934,ZA,GB
2007,2577,BE,PL
2007,261,LY,MA
2007,896,IS,NO
2007,721,AT,BY
2007,954,BR,IT
2007,995,DK,EE
2007,2534,AT,BG
2007,138,NL,SY
2007,541,CS,BA
2007,400,DO,IT
2007,670,CZ,SI
2007,394,IT,SN
2007,412,TR,CN
2007,761,AT,AL
2007,157,ES,BO
2007,3151,CZ,GR
2007,205,RU,QA
2007,1464,US,SE
2007,522,MG,FR
2007,280,KW,NL
2007,956,GR,FI
2007,545,US,CZ
2007,869,ES,CL
2007,373,MA,ML
2007,1717,US,PT
2007,652,HU,EG
2007,227,DK,AE
2007,305,ES,UY
2007,1057,RO,IL
2007,81,MX,PT
2007,1403,AZ,TR
2007,3,TN,US
2007,393,SN,PT
2007,312,KZ,UA
2007,6377,UA,TR
2007,853,RO,BE
2007,4997,BG,BG
2007,114,GH,MA
2007,510,LT,IT
2007,980,RU,NO
2007,355,MA,CA
2007,1778,SE,EE
2007,313,DK,EG
2007,110,MV,CH
2007,742,BG,RO
2007,738,BE,SA
2007,296,GB,SY
2007,276,GH,US
2007,168,AT,EE
2007,2072,SE,GR
2007,383,PL,BY
2007,616,ES,GI
2007,314,BG,UA
2007,28,IT,BH
2007,440,SE,EG
2007,1085,UA,GB
2007,322,RU,CA
2007,370,EG,LT
2007,415,UA,LT
2007,115,IS,FI
2007,329,RO,DK
2007,632,HU,AL
2007,128,AE,HU
2007,324,TR,MA
2007,357,IT,SA
2007,921,TR,MD
2007,1506,ES,HU
2007,212,GB,AM
2007,600,DE,AL
2007,68,MA,AT
2007,605,BG,BE
2007,830,BA,AT
2007,96,LY,TN
2007,240,NG,BE
2007,229,AM,AE
2007,43,TN,HR
2007,606,BE,BG
2007,106,US,CV
2007,283,GQ,FR
2007,165,HU,LB
2007,552,CM,FR
2007,94,BH,IE
2007,31,BM,FI
2007,403,US,MA
2007,76,GB,SH
2007,301,KR,IT
2007,1,KG,LV
2007,5,CM,DE
2007,2107,GR,PL
2007,666,GR,SK
2007,316,AL,SI
2007,245,CS,UA
2007,358,BE,LV
2007,214,FR,LT
2007,101,DK,SY
2007,563,FR,MG
2007,358,ES,JO
2007,2,BM,CV
2007,340,MK,DE
2007,251,NL,CS
2007,1,LV,KW
2007,297,UA,EE
2007,196,FO,IS
2007,29,JO,AZ
2007,62,IR,LB
2007,374,UA,LU
2007,443,BA,SI
2007,24,IQ,SE
2007,235,IS,FO
2007,113,IE,EG
2007,43,PT,BG
2007,171,ET,FR
2007,5,VI,CH
2007,406,SK,EG
2007,277,MA,GN
2007,128,KW,GR
2007,148,PR,ES
2007,9,UA,IQ
2007,12,KZ,ES
2007,84,MD,IL
2007,296,KZ,FR
2007,27,AE,LY
2007,144,CN,IL
2007,68,LU,FI
2007,100,BY,AM
2007,107,LB,DZ
2007,21,GB,SD
2007,15,TJ,AM
2007,16,CZ,OM
2007,374,TR,TH
2007,3,LC,CH
2007,6,JO,MT
2007,122,AZ,IT
2007,143,CU,RU
2007,105,IE,EE
2007,1138,TN,CZ
2007,87,JM,NL
2007,152,SI,ES
2007,3,MV,TR
2007,132,IL,KZ
2007,1,GW,FR
2007,9,OM,IT
2007,164,DE,CV
2007,11,PK,NL
2007,4,ES,AG
2007,105,TR,MY
2007,3,SC,CH
2007,9,JM,BE
2007,52,DE,SC
2007,59,AZ,SK
2007,15,DO,CZ
2007,218,HR,GR
2007,28,ET,GB
2007,27,VE,SE
2007,19,CZ,MA
2007,156,FR,TG
2007,132,TR,YE
2007,11,IT,AF
2007,54,SC,DE
2007,9,MX,HU
2007,48,HU,JO
2007,3,DK,GI
2007,7,KW,DK
2007,12,NL,BB
2007,10,CZ,VE
2007,52,NL,LB
2007,40,BE,BI
2007,93,BE,JM
2007,357,AT,QA
2007,6,GI,DK
2007,102,LU,SY
2007,73,LV,AZ
2007,7,HU,BY
2007,20,TJ,IT
2007,90,MX,BE
2007,112,JO,BE
2007,13,UA,DZ
2007,2,UG,PT
2007,155,BE,JO
2007,169,TR,LU
2007,3,TR,MO
2007,9,SE,MX
2007,1,PR,MR
2007,15,IS,LT
2007,74,IE,IL
2007,16,BE,KW
2007,3,IN,RU
2007,62,CS,PL
2007,119,ES,SA
2007,19,NG,MT
2007,45,NL,SN
2007,10,FI,LB
2007,11,AE,PT
2007,38,IE,RO
2007,30,TJ,ES
2007,9,RO,QA
2007,3,GB,VI
2007,106,HK,TR
2007,1,NI,MA
2007,7,MK,AL
2007,2,GB,MR
2007,6,GD,PT
2007,13,KW,ES
2007,37,GM,DE
2007,54,LB,BY
2007,155,HR,UA
2007,7,PT,VI
2007,9,MA,GQ
2007,29,MK,FR
2007,12,ZA,BE
2007,1,HK,GR
2007,4,SA,SN
2007,334,MT,ES
2007,7,CH,GA
2007,26,UA,TJ
2007,7,CS,EE
2007,10,CH,CN
2007,32,SE,IN
2007,30,IQ,AZ
2007,15,ES,LR
2007,159,GE,GB
2007,117,JP,EG
2007,43,GB,MW
2007,6,TC,GB
2007,2,XF,GB
2007,1,FI,OM
2007,15,LT,RO
2007,16,NL,AZ
2007,3,DZ,BH
2007,44,GR,MK
2007,1,TR,GW
2007,8,KG,KW
2007,3,MD,NO
2007,3,IT,GA
2007,24,CF,PT
2007,40,ES,LY
2007,1,VN,IT
2007,7,CA,BG
2007,4,LT,DZ
2007,236,LT,GR
2007,35,FI,HR
2007,4,AF,BG
2007,8,MD,SK
2007,22,CH,AZ
2007,6,CS,LV
2007,101,IE,IS
2007,1,IL,AE
2007,1,CA,CY
2007,5,MV,CY
2007,75,BG,AM
2007,30,PT,JO
2007,14,AM,IT
2007,419,BY,LV
2007,4,EE,MK
2007,16,RU,EE
2007,9,IN,ES
2007,1,CY,TH
2007,9,BR,MA
2007,2,GE,MA
2007,20,CH,BY
2007,6,FR,LR
2007,29,SI,MT
2007,29,MT,SI
2007,2,BE,XF
2007,26,FR,SD
2007,8,QA,BE
2007,35,KZ,CZ
2007,5,UA,KG
2007,32,GR,MD
2007,9,LB,JO
2007,1,IE,KE
2007,1,TT,ES
2007,1,MW,IE
2007,515,BG,NO
2007,1,MN,RO
2007,1,LU,BH
2007,19,MT,DZ
2007,5,MA,SL
2007,1,MY,BG
2007,33,IS,BG
2007,2,RO,ER
2007,13,SE,CV
2007,14,BY,SE
2007,5,SE,BY
2007,1,TT,CZ
2007,5,AG,DE
2007,1,EE,MD
2007,15,IL,NO
2007,3,LY,KW
2007,123,CY,FI
2007,3,SE,JP
2007,1,JP,ES
2007,1,TD,MT
2007,1,IT,TG
2007,31,MX,CH
2007,26,UA,MT
2007,3,PK,DK
2007,12,UZ,AM
2007,9,BA,BG
2007,1,ES,LC
2007,8,RU,NG
2007,1,BE,MR
2007,8,BR,BE
2007,6,HR,JO
2007,3,JO,MK
2007,2,GB,KG
2007,8,LV,RO
2007,2,SE,NG
2007,4,AE,BA
2007,1,CZ,UZ
2007,45,MD,LT
2007,26,NO,CA
2007,3,CV,AG
2007,43,LT,MD
2007,3,NO,JO
2007,1,TG,CH
2007,3,BS,DE
2007,3,VI,ES
2007,1,MD,NL
2007,3,US,BH
2007,9,OM,GR
2007,7,CZ,AL
2007,5,AE,CS
2007,2,AM,AF
2007,6,MD,PL
2007,1,GH,CA
2007,2,AF,AM
2007,11,UA,MA
2007,5,CH,YE
2007,3,SJ,SE
2007,9,TJ,IS
2007,27,IE,QA
2007,7,MA,EE
2007,41,LU,SN
2007,1,CS,DZ
2007,6,SD,UA
2007,4,MA,GM
2007,12,PT,CS
2007,2,BH,RU
2007,6,BE,GE
2007,3,LU,BF
2007,2,BY,LU
2007,2,MA,CY
2007,5,MD,BY
2007,1,BW,BE
2007,5,US,LY
2007,14,PL,AZ
2007,46,AZ,ES
2007,4,GM,PT
2007,1,SN,KW
2007,12,TZ,IT
2007,49,TR,ZA
2007,1,SC,IE
2007,6,GR,AZ
2007,21,SJ,RU
2007,9,GB,GA
2007,19,UZ,BE
2007,8,LU,LK
2007,4,JP,SE
2007,1,PT,GY
2007,27,BA,FR
2007,9,RU,SC
2007,3,US,GI
2007,2,GI,US
2007,2,IR,BE
2007,1,OM,CS
2007,2,RO,DZ
2007,2,GM,BE
2007,26,EE,TN
2007,2,CV,HU
