"origin_iso","destination_iso","originregion_name","destinationregion_name","origin_name","destination_name","ftype","countryflow_2001","countryflow_2002","countryflow_2003","countryflow_2004","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015"
"AL","IT","ESRA East","ESRA Mediterranean","Albania","Italy","internal",1837,0,1961,2296,3662,3635,4099,4038,4560,5208,6013,5747,5563,4651,5250
"AT","AT","ESRA North-West","ESRA North-West","Austria","Austria","internal",26609,27496,26917,27130,28439,28310,29742,30166,28798,28274,23785,23752,22753,21149,19137
"AT","BE","ESRA North-West","ESRA North-West","Austria","Belgium","internal",3745,4092,3717,3743,3718,3923,4145,3954,3343,3151,2945,2587,2731,2704,2692
"AT","BG","ESRA North-West","ESRA East","Austria","Bulgaria","internal",0,0,0,0,2006,2089,2534,2968,2439,2767,2782,3186,2457,2328,2272
"AT","CH","ESRA North-West","ESRA North-West","Austria","Switzerland","internal",11831,11279,10825,11831,10676,8593,9136,10018,9429,9318,9792,9452,9892,9288,9427
"AT","CZ","ESRA North-West","ESRA East","Austria","Czech Republic","internal",2519,2630,2572,3060,3455,3978,4056,3483,2970,3021,3209,2716,2542,2429,2515
"AT","DE","ESRA North-West","ESRA North-West","Austria","Germany","internal",33590,33059,38609,41754,42811,44359,48850,51061,48160,48111,46996,43764,41402,42308,41965
"AT","DK","ESRA North-West","ESRA North-West","Austria","Denmark","internal",1934,2092,2389,2264,2532,2241,2253,2351,1866,2228,2310,2410,2295,2162,0
"AT","ES","ESRA North-West","ESRA Mediterranean","Austria","Spain","internal",3503,3570,3727,4095,4327,4955,5341,5593,4530,4863,5704,5789,5244,5778,6025
"AT","FR","ESRA North-West","ESRA North-West","Austria","France","internal",6567,6488,6358,6356,8098,8079,8849,9084,7674,7826,7594,7656,6833,6679,6660
"AT","GB","ESRA North-West","ESRA North-West","Austria","United Kingdom","internal",6896,6755,7409,8660,8789,8538,8909,8640,7807,7280,7596,7307,6593,6984,7553
"AT","GR","ESRA North-West","ESRA Mediterranean","Austria","Greece","internal",3979,3823,4048,3892,3816,4129,4124,3905,3331,3213,2890,2732,3231,3557,3979
"AT","HR","ESRA North-West","ESRA East","Austria","Croatia","internal",2379,2738,2770,3252,3563,3672,3816,3890,3525,3355,3273,3133,2930,3001,3013
"AT","HU","ESRA North-West","ESRA East","Austria","Hungary","internal",1877,2132,1873,2398,1931,1950,1865,1872,1833,1875,1838,1848,1871,1915,1828
"AT","IT","ESRA North-West","ESRA Mediterranean","Austria","Italy","internal",7496,7864,8741,11039,10908,11378,12477,11904,9115,9571,9766,9080,8690,9344,9007
"AT","NL","ESRA North-West","ESRA North-West","Austria","Netherlands","internal",6016,5631,5444,4536,4120,3484,3756,4121,3732,3816,3961,3971,3908,3971,3966
"AT","PL","ESRA North-West","ESRA East","Austria","Poland","internal",2924,2656,2879,3206,3129,2949,3200,3965,3489,3351,3651,3468,3116,2745,2686
"AT","RO","ESRA North-West","ESRA East","Austria","Romania","internal",0,0,0,2138,2647,3248,3959,4574,4371,4668,4294,4657,3491,3434,3241
"AT","RS","ESRA North-West","ESRA East","Austria","Serbia","internal",0,0,0,0,0,2359,2666,2896,2764,3309,3429,3969,3290,3139,2948
"AT","SE","ESRA North-West","ESRA North-West","Austria","Sweden","internal",0,0,0,0,2037,2507,2759,2826,2683,2683,2805,2068,0,0,0
"AT","SI","ESRA North-West","ESRA East","Austria","Slovenia","internal",0,0,0,2124,2603,2083,2023,2287,2050,1978,0,1858,0,0,0
"AT","TR","ESRA North-West","ESRA Mediterranean","Austria","Turkey","internal",3889,3816,3457,3988,4192,3626,3719,3879,3505,3949,4649,4649,5190,5300,5480
